start time = Fri Nov 22 08:15:58 2019
Source: file:///fsx/files/
Dest:   ftp://172.31.21.192:50505/home/ubuntu/
  large_file_0  ->  large_file

  19263389696 bytes       108.91 MB/sec avg       106.00 MB/sec inst
  19386073088 bytes       108.95 MB/sec avg       117.00 MB/sec inst
  19502465024 bytes       108.97 MB/sec avg       111.00 MB/sec inst
  19619905536 bytes       108.92 MB/sec avg       101.82 MB/sec inst
  19737346048 bytes       108.94 MB/sec avg       112.00 MB/sec inst
  19854786560 bytes       108.95 MB/sec avg       112.00 MB/sec inst
  19972227072 bytes       108.97 MB/sec avg       112.00 MB/sec inst
  20089667584 bytes       108.99 MB/sec avg       112.00 MB/sec inst
  20207108096 bytes       109.01 MB/sec avg       112.00 MB/sec inst
  20323500032 bytes       109.02 MB/sec avg       111.00 MB/sec inst
  20439891968 bytes       109.03 MB/sec avg       111.00 MB/sec inst
  20553138176 bytes       109.02 MB/sec avg       108.00 MB/sec inst
  20669530112 bytes       109.03 MB/sec avg       111.00 MB/sec inst
  20784873472 bytes       109.04 MB/sec avg       110.00 MB/sec inst
  20902313984 bytes       109.06 MB/sec avg       112.00 MB/sec inst
  21019754496 bytes       109.07 MB/sec avg       112.00 MB/sec inst
  21135097856 bytes       109.08 MB/sec avg       110.00 MB/sec inst
  21250441216 bytes       109.08 MB/sec avg       110.00 MB/sec inst
  21368930304 bytes       109.10 MB/sec avg       113.00 MB/sec inst
  21486370816 bytes       109.12 MB/sec avg       112.00 MB/sec inst
  21604859904 bytes       109.08 MB/sec avg       102.73 MB/sec inst
  21723348992 bytes       109.10 MB/sec avg       113.00 MB/sec inst
  21842886656 bytes       109.13 MB/sec avg       114.00 MB/sec inst
  21959278592 bytes       109.14 MB/sec avg       111.00 MB/sec inst
  22074621952 bytes       109.14 MB/sec avg       110.00 MB/sec inst
  22191013888 bytes       109.15 MB/sec avg       111.00 MB/sec inst
  22305308672 bytes       109.15 MB/sec avg       109.00 MB/sec inst
  22422749184 bytes       109.16 MB/sec avg       112.00 MB/sec inst
  22540189696 bytes       109.18 MB/sec avg       112.00 MB/sec inst



end time = Fri Nov 22 20:41:03 2019
total time = 220

start time = Fri Nov 22 20:41:03 2019
Source: file:///fsx/files/
Dest:   ftp://172.31.21.192:50505/home/ubuntu/
  large_file_1  ->  large_file

      1048576 bytes         0.37 MB/sec avg         0.37 MB/sec inst
     89128960 bytes        22.50 MB/sec avg        76.36 MB/sec inst
    198180864 bytes        39.56 MB/sec avg       104.00 MB/sec inst
    325058560 bytes        53.66 MB/sec avg       121.00 MB/sec inst
    451936256 bytes        63.59 MB/sec avg       121.00 MB/sec inst
    578813952 bytes        70.97 MB/sec avg       121.00 MB/sec inst
    705691648 bytes        76.67 MB/sec avg       121.00 MB/sec inst
    832569344 bytes        81.21 MB/sec avg       121.00 MB/sec inst
    958398464 bytes        84.81 MB/sec avg       120.00 MB/sec inst
   1085276160 bytes        87.88 MB/sec avg       121.00 MB/sec inst
